address,name,online_order,book_table,rate,rating_clean,votes,location,location_clean,rest_type,primary_rest_type,dish_liked,cuisines,primary_cuisine,approx_cost(for two people),cost_for_two,listed_in(type),listed_in(city),city_clean
"309, Sai Nandana Presidency, 5th Main, 11th Cross, Near Rajashri Grandhim Hospitals, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",Deejas Kitchen,Yes,No,3.9/5,3.9,73,Bannerghatta Road,Bannerghatta Road,"Takeaway, Delivery",,"Pothichoru, Roast Chicken, Fish Fry","South Indian, Kerala",South Indian,400,,Delivery,BTM,Btm
"1035, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Shanghai Court,Yes,No,4.2/5,4.2,421,Bannerghatta Road,Bannerghatta Road,Casual Dining,,"Chicken Manchow Soup, Hunan Chicken, Pad Thai, Singapore Noodles, Dragon Rolls, Momos, Thai Red Curry","Chinese, Thai",Chinese,700,,Delivery,Bannerghatta Road,Bannerghatta Road
"99, Shivaji Road, Rajiv Gandhi Colony, Shivajinagar, Bangalore",Kabab Mela,Yes,No,,3.7,0,Shivajinagar,Shivajinagar,Quick Bites,,,"North Indian, Chinese, Kebab",North Indian,300,,Dine-out,Church Street,Church Street
"F 7, Ranka Villa, Opposite Kalyani Motors, Bilekahalli Main Road, Bannerghatta Road, Bangalore",Shuddh Desi Khana,Yes,No,4.1 /5,4.1,609,Bannerghatta Road,Bannerghatta Road,Quick Bites,,"Paratha, Chicken Kebab, Biryani, Lassi, Butter Chicken, Chicken Curry, Veg Kolhapuri",North Indian,North Indian,400,,Dine-out,BTM,Btm
"8, 7th Main,12th Cross, Vasanth Nagar Bangalore",Bismillah Royal Taj Hotel,No,No,,3.7,0,Vasanth Nagar,Vasanth Nagar,Quick Bites,,,Biryani,Biryani,200,,Dine-out,Church Street,Church Street
"346, A, B Block, AECS Layout, Brookefield, Bangalore",Momo Mania,Yes,No,3.9/5,3.9,26,Brookefield,Brookefield,Quick Bites,,,"Momos, Fast Food",Momos,300,,Delivery,Brookefield,Brookefield
"44/1/A1, BNM Complex, Basavanagar, GS Playa, Phase 2, Electronic City, Bangalore",Trisha's Kitchen,Yes,No,3.2/5,3.2,4,Electronic City,Electronic City,"Takeaway, Delivery",,,"North Indian, Chinese",North Indian,300,,Delivery,Electronic City,Electronic City
"Daadys Elixir Apartment, Phase 2, Electronic City, Bangalore",Bak'd Goodies,No,No,,3.7,0,Electronic City,Electronic City,Bakery,,,Bakery,Bakery,350,,Desserts,Electronic City,Electronic City
"DNG Sports Arena, 417/1 & 417/2, Next To Canara Bank, 100 Ft. Ring Road, Koramangala 4th Block, Bangalore",Creamiester Ice Creams,No,No,,3.7,0,Koramangala 4th Block,Koramangala 4Th Block,"Dessert Parlor, Beverage Shop",,,"Desserts, Ice Cream, Beverages",Desserts,300,,Delivery,BTM,Btm
"52/ 53, Ground Floor, Lavelle Road, Bangalore",Smoke House Deli,Yes,No,4.6/5,4.6,2492,Lavelle Road,Lavelle Road,Casual Dining,,"Burgers, Cocktails, Salads, Veg Burger, Peri Chicken, Pasta Alfredo, Hazelnut Mousse Flan","European, Italian, Desserts, Salad, Juices, Steak",European,"1,600",,Dine-out,Church Street,Church Street
"44/1, Bull Temple Road, Basavanagudi, Bangalore",Cane-O-La,Yes,No,3.8/5,3.8,61,Basavanagudi,Basavanagudi,Quick Bites,,"Sugarcane Juice, Popcorn",Juices,Juices,100,,Delivery,Banashankari,Banashankari
"A11, Opposite Ranka Apartments, Bilekahalli, Bannerghatta Road, Bangalore",Bhavani Chats,Yes,No,3.6/5,3.6,34,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,Street Food,Street Food,100,,Delivery,Bannerghatta Road,Bannerghatta Road
"#235/1 12th Cross, Wilson Garden, Bangalore",House of Tasty Food,No,No,-,3.7,0,Wilson Garden,Wilson Garden,Quick Bites,,,North Indian,North Indian,400,,Delivery,Basavanagudi,Basavanagudi
"46, 8th Main Road, Vasanth Nagar, Bangalore",Step Right Up,Yes,No,4.1/5,4.1,153,Vasanth Nagar,Vasanth Nagar,Cafe,,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries","Cafe, Italian",Cafe,300,,Cafes,Church Street,Church Street
"1st Floor, Fooddays Complex, 5th Main, Sector 6, HSR, Bangalore",Shri Madhuram,No,No,3.9/5,3.9,371,HSR,Hsr,Casual Dining,,"Vada, Coffee, Breakfast Buffet, Thali, Idli, Onion Rava Masala Dosa, Pongal","South Indian, North Indian",South Indian,400,,Dine-out,BTM,Btm
"40, 2nd Cross, Tavarekere Main Road, Adugodi, BTM, Bangalore",Public Khana,Yes,No,3.5/5,3.5,17,BTM,Btm,Quick Bites,,,"South Indian, North Indian",South Indian,200,,Dine-out,BTM,Btm
"24th Main Road, Near Hanuman Statue, Opposite Goverment School, HSR, Bangalore",North Tadka Restaurant,Yes,No,,3.7,0,HSR,Hsr,Quick Bites,,,"North Indian, Chinese",North Indian,500,,Delivery,Bellandur,Bellandur
"120-P, A 3, Santosh Towers, EPIP, KIADB Industrial Area, Whitefield, Bangalore",Tayabbs,Yes,No,3.3/5,3.3,7,Whitefield,Whitefield,Quick Bites,,,"Fast Food, Rolls",Fast Food,350,,Delivery,Brookefield,Brookefield
"3, Opposite Corporation Bank Begur, Bommanahalli, Bangalore",Ammi's Biryani,No,No,2.7/5,2.7,77,Bommanahalli,Bommanahalli,Quick Bites,,,"Biryani, North Indian",Biryani,500,,Dine-out,BTM,Btm
"314, 25th Cross, 2nd Stage, Banashankari, Bangalore",Rotti Mane,No,No,,3.7,0,Banashankari,Banashankari,Quick Bites,,,South Indian,South Indian,100,,Dine-out,Banashankari,Banashankari
"9/91, 1st Floor, Varthur Main Road, Thubarahalli, Whitefield, Banglore",BIB-Breakfast in the Box,Yes,No,3.7/5,3.7,61,Whitefield,Whitefield,Delivery,,"French Fries, Burgers, English Breakfast, Pancakes, Corn Sandwich, Chicken Burger, Bacon Fry","American, Sandwich",American,600,,Delivery,Brookefield,Brookefield
"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",30 Square,Yes,No,4.2/5,4.2,556,Koramangala 5th Block,Koramangala 5Th Block,Quick Bites,,"Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo","Tibetan, Nepalese, Momos",Tibetan,400,,Dine-out,BTM,Btm
"Shop 107, Praveen Transport Complex, Near ITPL Gate 3, Pattandur, Agrahara, Whitefield, Bangalore",Yummy Dum Biriyani,No,No,,3.7,0,Whitefield,Whitefield,Quick Bites,,,"Biryani, Chinese",Biryani,500,,Delivery,Brookefield,Brookefield
"81/82, Sargbabhounagar, Behind HSBC Bank, Bilkehalli, Bannerghatta Road, Bangalore",Hotel Shyam Mangalam & Catering Service,No,No,,3.7,0,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,"South Indian, North Indian, Oriya",South Indian,400,,Delivery,Bannerghatta Road,Bannerghatta Road
"2/4, Langford Garden Road, Richmond Road, Bangalore",Season - Adarsh Hamilton,No,Yes,4.3/5,4.3,326,Richmond Road,Richmond Road,Casual Dining,,"Fish, Pepper Corn, Salads, Mutton Biryani, Lunch Buffet, Apple Pie, Dahi Vada","North Indian, Chinese, South Indian, Continental",North Indian,"1,200",,Dine-out,Church Street,Church Street
"193, N.S. Pallya, Bannerghatta Road, Bangalore",Hotel Aradhana,Yes,No,3.7/5,3.7,51,Bannerghatta Road,Bannerghatta Road,Quick Bites,,"Akki Rottis, Neer Dosa",North Indian,North Indian,300,,Dine-out,BTM,Btm
"43, 1st Floor, Kundanahalli Gate, ITPL Main Road, Brookefield, Bangalore",Gilly's Restobar,No,Yes,4.4/5,4.4,1710,Brookefield,Brookefield,"Pub, Casual Dining",,"Mutton Biryani, Drunken Chicken, Chicken Biryani, Beer, Cocktails, Pasta, Onion Rings","Continental, Finger Food, North Indian, Chinese",Continental,"1,200",,Drinks & nightlife,Brookefield,Brookefield
"Field Marshal Cariappa Road, Shanthala Nagar, Near Brigade Road, Bangalore",Mehendi,No,No,,3.7,0,Residency Road,Residency Road,Casual Dining,,,"North Indian, Chinese",North Indian,700,,Dine-out,Brigade Road,Brigade Road
"Halcyon Condominiums, 9, Drafadilla Layout, Koramangala 4th Block, Bangalore",Cilantro,Yes,Yes,4.0/5,4,280,Koramangala 4th Block,Koramangala 4Th Block,"Casual Dining, Bar",,"Biryani, Breakfast Buffet, Fish, Salads, Burgers, Caramel Pudding, Steak","European, American, Continental, North Indian, Steak",European,"1,500",,Delivery,BTM,Btm
"12/56-2, Cambridge Road, Near Frank Anthony School, Ulsoor, Bangalore",The Donut Baker,No,No,3.0/5,3,31,Ulsoor,Ulsoor,"Bakery, Dessert Parlor",,,Desserts,Desserts,150,,Desserts,Brigade Road,Brigade Road
"Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Momo Blues,Yes,No,NEW,3.7,0,Koramangala 5th Block,Koramangala 5Th Block,Quick Bites,,,"Chinese, Momos, Nepalese, Tibetan",Chinese,200,,Delivery,BTM,Btm
"90, KH Road, Double Road, Shanti Nagar, Bangalore",Sakae Japanese Restaurant,No,Yes,4.3/5,4.3,519,Shanti Nagar,Shanti Nagar,Casual Dining,,"Sushi, Miso Soup, Steak, Tea, Ramen, Rolls, Tempura",Japanese,Japanese,"1,400",,Delivery,Church Street,Church Street
"10, Near Jayadeva Signal, Oppoite SBI ATM, 100 Feet Ring Road, 2nd Stage, BTM, Bangalore",Delight Food,Yes,No,2.7/5,2.7,172,BTM,Btm,Casual Dining,,,"Andhra, Chinese, Biryani",Andhra,450,,Delivery,BTM,Btm
"2, Shah Sultan Complex, Cunningham Road, Bangalore",Infinitea Tea Room & Tea Store,Yes,Yes,4.3/5,4.3,860,Cunningham Road,Cunningham Road,"Casual Dining, Cafe",,"Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos",Continental,"1,000",,Dine-out,Church Street,Church Street
"84/85, Kalasipalyam Main Road, City Market, Bangalore",Hotel Kalpaka,No,No,3.4/5,3.4,4,City Market,City Market,Quick Bites,,,"South Indian, Kerala",South Indian,400,,Dine-out,Basavanagudi,Basavanagudi
"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Spice Elephant,Yes,No,4.1/5,4.1,787,Banashankari,Banashankari,Casual Dining,,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",Chinese,800,,Delivery,Banashankari,Banashankari
"Conrad Bengaluru, Kensington Road, Ulsoor, Bangalore",Caraway Kitchen - Conrad Bengaluru,No,Yes,4.3/5,4.3,152,Ulsoor,Ulsoor,Fine Dining,,"Pasta, Pizza, Pancakes, Fish, Salads, Chaat","American, Continental, North Indian, South Indian",American,"2,800",,Buffet,Church Street,Church Street
"Lalbagh Main Gate Road, Opp Suzuki Car Showroom, Shanti Nagar, Bangalore",Ashirwadh Delicacy,No,No,,3.7,0,Shanti Nagar,Shanti Nagar,Quick Bites,,,"South Indian, Fast Food",South Indian,150,,Dine-out,Church Street,Church Street
"RV Comfort, College Road, MV Extension, Hoskote, Whitefield, Bangalore",Meat And Eat,No,No,3.4/5,3.4,5,Whitefield,Whitefield,Quick Bites,,,"Fast Food, Burger",Fast Food,500,,Delivery,Brookefield,Brookefield
"2, Church Street, Bangalore",Mel's Korner,No,No,3.8/5,3.8,95,Church Street,Church Street,Quick Bites,,"Shawarma, Burgers, Beef Burger, Potato Wedges, Vegetable Noodles, Cheese Fatayer, Garlic Fries",Fast Food,Fast Food,500,,Dine-out,Church Street,Church Street
"17, Thubarahalli Village, Hobli, Varthur Main Road, Whitefield, Bangalore",Nawab Di Biryani,Yes,No,NEW,3.7,0,Whitefield,Whitefield,"Takeaway, Delivery",,,"Biryani, Mughlai",Biryani,400,,Delivery,Brookefield,Brookefield
"1st Floor, Road Number 2, Vijayanagar, Kiadb Export Promotion Industrial Area, Whitefield, Bangalore",Whats Ap,No,No,3.3/5,3.3,6,Whitefield,Whitefield,Casual Dining,,,Andhra,Andhra,800,,Delivery,Brookefield,Brookefield
"1304, 1st Floor, 9th Cross, 20th Main, 2nd Phase, JP Nagar, Bangalore",Crafted Plate,Yes,Yes,4.2/5,4.2,239,JP Nagar,Jp Nagar,"Casual Dining, Cafe",,"Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",Cafe,600,,Cafes,BTM,Btm
"Kitchens@, 1st Floor Skywards Sun Park, Neeladri Road, Karuna Nagar, Phase 1, Electronic City, Bangalore",Fujian Express,Yes,No,NEW,3.7,0,Electronic City,Electronic City,"Takeaway, Delivery",,,"Chinese, Thai",Chinese,200,,Delivery,Electronic City,Electronic City
"Mahalakshmi Chambers, MG Road, Bangalore",Little Bites,No,No,3.6/5,3.6,7,MG Road,Mg Road,"Cafe, Quick Bites",,,"Cafe, Fast Food",Cafe,200,,Delivery,Brigade Road,Brigade Road
"4th Floor, Building 9, Halcyon Complex, St. Marks Road, Bangalore",MISU,Yes,Yes,4.6/5,4.6,1217,St. Marks Road,St. Marks Road,"Casual Dining, Bar",,"Sushi, Dumplings, Khau Suey, Noodles, Cocktails, Virgin Mojito, Drunken Beef","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",Asian,"1,700",,Pubs and bars,Church Street,Church Street
"7, Shop 4, Om Sai Kuteer, 4th Main, BEML layout, Thubarahalli Brookefield, Bangalore",Cocoa Bakes,No,No,,3.7,0,Brookefield,Brookefield,Bakery,,,"Bakery, Desserts",Bakery,300,,Desserts,Brookefield,Brookefield
"48, Triumph Towers, Church Street, Bangalore",Kaati Zone,Yes,No,3.1/5,3.1,163,Church Street,Church Street,Quick Bites,,"Rolls, Chicken Tikka Roll, Cheese Roll","Fast Food, Biryani, Rolls",Fast Food,350,,Dine-out,Brigade Road,Brigade Road
"115, 3rd Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore",Fenny's Lounge And Kitchen,No,Yes,4.5/5,4.5,6349,Koramangala 7th Block,Koramangala 7Th Block,"Bar, Casual Dining",,"Caramel Pudding, Cocktails, Pizza, Mocktails, Bbq Chicken, Veg Starter, Sea Food","Mediterranean, Pizza, Continental, Seafood, Salad",Mediterranean,"1,600",,Pubs and bars,BTM,Btm
"158, 5th Main, 20th Cross, South Inn, Near 3M Car Care, Sector 7, HSR Layout, HSR, Bangalore",Best Biryani,No,No,,3.7,0,HSR,Hsr,Quick Bites,,,"North Indian, Biryani",North Indian,500,,Delivery,BTM,Btm
"34/6, Golahalli - Electronic City Road, Phase 1, Electronic City, Bangalore",Foodie Nation,Yes,Yes,3.5/5,3.5,89,Electronic City,Electronic City,Casual Dining,,,"North Indian, Chinese, Arabian",North Indian,"1,000",,Delivery,Electronic City,Electronic City
"1, Meenakshi Koli Street, Shivaji Circle, Shivajinagar, Bangalore",Mughals Restaurant,No,No,3.2/5,3.2,17,Shivajinagar,Shivajinagar,Casual Dining,,,"Mughlai, North Indian, Chinese, Biryani, Seafood",Mughlai,550,,Dine-out,Church Street,Church Street
"283, 3rd Cross Road, 3rd Phase, JP Nagar, Bengaluru",TeaChaTe Express,No,No,,3.7,0,JP Nagar,Jp Nagar,Quick Bites,,,"Fast Food, Tea",Fast Food,150,,Delivery,BTM,Btm
"Whitefield, Bangalore",Poorva's Kitchen,No,No,,3.7,0,Whitefield,Whitefield,Delivery,,,Maharashtrian,Maharashtrian,200,,Delivery,Brookefield,Brookefield
"46, 8th Main, Vasanth Nagar, Bangalore",Bangalore Masala House,Yes,No,4.2/5,4.2,255,Vasanth Nagar,Vasanth Nagar,Cafe,,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",Cafe,500,,Dine-out,Church Street,Church Street
"53/A, Hulimavu, Bannerghatta Main Road, Bannerghatta Road, Bangalore",Guru Palace,Yes,No,3.1/5,3.1,106,Bannerghatta Road,Bannerghatta Road,Casual Dining,,,"Chinese, North Indian",Chinese,450,,Delivery,Bannerghatta Road,Bannerghatta Road
"190/2, 1st Cross Road, Chandra Layout, Marathahalli, Bangalore",Imli,No,No,3.3/5,3.3,13,Marathahalli,Marathahalli,Quick Bites,,,"North Indian, Beverages, Fast Food, Street Food",North Indian,250,,Dine-out,Brookefield,Brookefield
"688, 3rd Cross, 29th Main Road, 2nd Stage, BTM, Bangalore",Hang10 Resto N Cafe,Yes,No,3.8/5,3.8,100,BTM,Btm,Cafe,,"Burgers, Chicken Grill, Faluda, French Fries, Sandwich","Cafe, North Indian, Chinese",Cafe,700,,Dine-out,BTM,Btm
"14, Krishnanagara Industrial Area, Next To Christ College, Near Dairy Circle, BTM, Bangalore",Dadi's Dum Biryani,Yes,Yes,4.1/5,4.1,2724,BTM,Btm,Casual Dining,,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab","Biryani, North Indian, Mughlai",Biryani,800,,Dine-out,BTM,Btm
"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",K27 - The Pub,No,No,3.1/5,3.1,30,Banashankari,Banashankari,Bar,,,"Chinese, North Indian",Chinese,"1,000",,Delivery,Banashankari,Banashankari
"Hotel Ramanashree, 16, Raja Ram Mohan Roy Road, Richmond Road, Bangalore",Parika Multicuisine Restaurant,Yes,Yes,3.8/5,3.8,203,Richmond Road,Richmond Road,Casual Dining,,"Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri","North Indian, Chinese, Mughlai",North Indian,"1,200",,Buffet,Church Street,Church Street
"1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, Bangalore",Dhaba Estd 1986 Delhi,Yes,Yes,4.4/5,4.4,1209,Marathahalli,Marathahalli,"Casual Dining, Bar",,"Mutton Curry, Lassi, Dal Makhani, Chicken Butter Masala, Pav Bhaji, Chicken Curry, Paneer Tikka",North Indian,North Indian,"1,100",,Delivery,Bellandur,Bellandur
"51, 5th Main, 60 Feet Road, BNG Homestay Building, Jai Bheema Nagar, 1st Stage, BTM, Bangalore",Bisimillah Biriyani's & Kebab's,No,No,3.3/5,3.3,6,BTM,Btm,Quick Bites,,,"Biryani, Fast Food",Biryani,300,,Delivery,BTM,Btm
"31, Ground Floor, Ulsoor Road, Near HDFC Bank, Ulsoor, Bangalore",Container Coffee,Yes,No,,3.7,0,Ulsoor,Ulsoor,Quick Bites,,,South Indian,South Indian,200,,Delivery,Church Street,Church Street
"Gardeenia Comfortes Suites, 52/56 Bommansandra Industrial Area, Hosur Main Road, Electronic City, Bangalore",Ritz,No,No,3.5/5,3.5,43,Electronic City,Electronic City,Casual Dining,,"Salads, Gulab Jamun","North Indian, Chinese, Thai, Continental",North Indian,800,,Dine-out,Electronic City,Electronic City
"67, 15th Cross, 3rd Phase, JP Nagar, Bangalore",Calvin's,No,No,2.9/5,2.9,231,JP Nagar,Jp Nagar,Dessert Parlor,,"Pasta, Sandwiches, Club Sandwich, Cottage Cheese Steak, Waffles, Chicken Lasagne, Chicken Burger","Desserts, Italian, Pizza",Desserts,800,,Dine-out,BTM,Btm
"37, Jumma Masjid Road, Commercial Street, Bangalore",New Kohinoor Hotel,No,No,3.2/5,3.2,9,Commercial Street,Commercial Street,Casual Dining,,,North Indian,North Indian,450,,Delivery,Church Street,Church Street
"107/P4, Ground Floor, Pattandur Agrahara, Whitefield, Bangalore",A Southern Fair,Yes,No,3.2/5,3.2,16,Whitefield,Whitefield,Casual Dining,,,"Biryani, Seafood, South Indian",Biryani,750,,Dine-out,Brookefield,Brookefield
"138, 29th Main, Dollars Colony, BTM 2nd Stage, Bangalore, Bengaluru",Udupi Thadka,No,No,,3.7,0,BTM,Btm,Quick Bites,,,"South Indian, Chinese, North Indian",South Indian,250,,Dine-out,BTM,Btm
"Smondoville Commercial Area, Neotown, Phase-1, Electronic City, Bangalore",Curries 'N' Phulkas,Yes,No,3.4/5,3.4,6,Electronic City,Electronic City,Quick Bites,,,North Indian,North Indian,250,,Delivery,Electronic City,Electronic City
"180, 2nd Floor, Manohar Crest, Brigade Road, Bangalore",Hotel Green Tara,No,No,3.9/5,3.9,40,Brigade Road,Brigade Road,Casual Dining,,Momos,"Chinese, Tibetan, Momos",Chinese,500,,Dine-out,Church Street,Church Street
"117, Mestripalyam Post, KHB Colony, Koramangala 4th Block, Bangalore",Yum's The Word!,Yes,No,,3.7,0,Koramangala 4th Block,Koramangala 4Th Block,Delivery,,,Chinese,Chinese,200,,Delivery,BTM,Btm
"67, 15th Cross, 3rd Phase, JP Nagar, Bangalore",Calvin's,No,No,2.9/5,2.9,231,JP Nagar,Jp Nagar,Dessert Parlor,,"Pasta, Sandwiches, Club Sandwich, Cottage Cheese Steak, Waffles, Chicken Lasagne, Chicken Burger","Desserts, Italian, Pizza",Desserts,800,,Dine-out,Bannerghatta Road,Bannerghatta Road
"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,Yes,No,2.8/5,2.8,506,Banashankari,Banashankari,Quick Bites,,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",North Indian,500,,Dine-out,Banashankari,Banashankari
"68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Parjanya Chat Zone,No,No,3.3/5,3.3,17,Banashankari,Banashankari,Quick Bites,,,"Street Food, Fast Food",Street Food,200,,Delivery,Banashankari,Banashankari
"Near Wipro Gate No 15, Neeladri Road, Concorde Silicon Valley, Electronic City, Bangalore",The Cake Lair,No,No,NEW,3.7,0,Electronic City,Electronic City,"Bakery, Quick Bites",,,"Bakery, Fast Food, Beverages",Bakery,600,,Desserts,Electronic City,Electronic City
"Opposite Shivaji Nagar Bus Stand, Shivajinagar, Bangalore",Sri Rama Coffee Shop,No,No,,3.7,0,Shivajinagar,Shivajinagar,Quick Bites,,,South Indian,South Indian,100,,Dine-out,Church Street,Church Street
"948/12, 16th Main, 7th Cross, 2nd Stage, BTM, Bangalore",Cafe Orio,No,No,4.0/5,4,147,BTM,Btm,Cafe,,"Sandwiches, Oreo Shake, Burgers, Pasta, Veg Burger, Paneer Tikka Sandwich, Oreo Milkshake","Cafe, Fast Food",Cafe,400,,Cafes,BTM,Btm
"15, Bull Temple Road, Next to HSBC Bank, Basavanagudi, Bangalore",McDonald's,Yes,No,3.6/5,3.6,276,Basavanagudi,Basavanagudi,Quick Bites,,"Burgers, Fries, Schezwan Burger, Maharaja Mac","Burger, Fast Food",Burger,500,,Dine-out,Basavanagudi,Basavanagudi
"Number 1369, AECS Layout, A Block, Singasandra, Electronic City, Bangalore",Krutunga Restaurant,No,No,3.4/5,3.4,20,Electronic City,Electronic City,Casual Dining,,,"Chinese, North Indian, South Indian",Chinese,700,,Dine-out,Electronic City,Electronic City
"Purva sunshine apartments Near Sarjapur fire station, Bengaluru, Karnataka",Bonfooder,Yes,No,3.9/5,3.9,36,Sarjapur Road,Sarjapur Road,Delivery,,"Dahi Bhalle, Thali",North Indian,North Indian,400,,Delivery,Bellandur,Bellandur
"13, The Bay, RMZ EcoWorld, Bellandur, Bangalore",Chili's American Grill & Bar,Yes,Yes,4.5/5,4.5,1365,Bellandur,Bellandur,"Casual Dining, Bar",,"Pork Ribs, Chicken Soup, Veg Fajitas, Cocktails, Burgers, Tacos, Pasta","American, Tex-Mex, Burger, BBQ",American,"1,800",,Pubs and bars,Bellandur,Bellandur
"4/1, 2nd Cross Road, 1st Stage, BTM Layout, Bengaluru",Deepam Tiffins,No,No,,3.7,0,BTM,Btm,Quick Bites,,,"South Indian, North Indian, Chinese",South Indian,300,,Delivery,BTM,Btm
"#23 C, 7th Main road, 2nd Stage, BTM, Bangalore",Bay Root,No,No,3.7/5,3.7,24,BTM,Btm,Quick Bites,,,"North Indian, Arabian",North Indian,400,,Dine-out,BTM,Btm
"9, First floor, Curzon Complex, Brigade Road, Bangalore",Saatvikk,No,No,2.8/5,2.8,133,Brigade Road,Brigade Road,Casual Dining,,"Cheese Garlic Naan, Coffee, Corn Soup, Pasta","North Indian, South Indian, Continental",North Indian,650,,Dine-out,Brigade Road,Brigade Road
"Plot 302, Shop 1, 2nd Cross, Kadubesanahalli, Panathur Main Road, Marathahalli, Bangalore",American Bites,Yes,No,3.0/5,3,4,Marathahalli,Marathahalli,Quick Bites,,,"Pizza, American, Fast Food, Seafood",Pizza,300,,Delivery,Bellandur,Bellandur
